id;text;creation_date;theme_id;creator_id
1;It is also a garbage-collected runtime system. Do you have any idea why this is not working? The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Type classes first appeared in the Haskell programming language. Do you come here often?;2025-11-07 20:58:58;6;0
2;The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. I don't even care. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. I don't even care. Erlang is a general-purpose, concurrent, functional programming language.;2025-04-28 02:46:26;5;7
3;The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. He looked inquisitively at his keyboard and wrote another sentence. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Make me a sandwich. They are written as strings of consecutive alphanumeric characters, the first character being lowercase.;2025-12-25 20:38:03;4;0
4;Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Ports are created with the built-in function open_port. Make me a sandwich. She spent her earliest years reading classic literature, and writing poetry. Tuples are containers for a fixed number of Erlang data types.;2025-09-08 10:19:58;1;0
5;Ports are used to communicate with the external world. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Do you have any idea why this is not working? He looked inquisitively at his keyboard and wrote another sentence. Ports are used to communicate with the external world.;2025-01-20 18:00:36;4;0
6;She spent her earliest years reading classic literature, and writing poetry. Where are my pants? In 1989 the building was heavily damaged by fire, but it has since been restored. Atoms are used within a program to denote distinguished values. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.;2025-12-29 19:41:26;7;11
7;The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. In 1989 the building was heavily damaged by fire, but it has since been restored. Haskell features a type system with type inference and lazy evaluation. Do you come here often? It is also a garbage-collected runtime system.;2025-02-02 09:30:17;5;0
8;Where are my pants? The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Ports are used to communicate with the external world.;2025-03-13 02:45:53;1;18
9;In 1989 the building was heavily damaged by fire, but it has since been restored. It is also a garbage-collected runtime system. Tuples are containers for a fixed number of Erlang data types. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.;2025-09-16 01:36:43;5;0
10;Do you come here often? The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Haskell features a type system with type inference and lazy evaluation. Make me a sandwich. In 1989 the building was heavily damaged by fire, but it has since been restored.;2025-12-15 22:57:20;1;0
11;He looked inquisitively at his keyboard and wrote another sentence. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Atoms are used within a program to denote distinguished values. It is also a garbage-collected runtime system. Atoms are used within a program to denote distinguished values.;2025-02-04 04:44:45;8;13
12;Ports are used to communicate with the external world. Any element of a tuple can be accessed in constant time. Erlang is a general-purpose, concurrent, functional programming language. She spent her earliest years reading classic literature, and writing poetry. Ports are created with the built-in function open_port.;2025-10-08 06:58:02;8;15
13;It is also a garbage-collected runtime system. Haskell features a type system with type inference and lazy evaluation. Erlang is a general-purpose, concurrent, functional programming language. Type classes first appeared in the Haskell programming language. It is also a garbage-collected runtime system.;2025-10-23 05:28:41;1;0
14;Do you have any idea why this is not working? It is also a garbage-collected runtime system. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Erlang is known for its designs that are well suited for systems. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.;2025-06-15 01:10:03;1;18
15;Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Erlang is known for its designs that are well suited for systems. It is also a garbage-collected runtime system.;2025-02-09 17:21:19;6;0
16;Ports are used to communicate with the external world. I don't even care. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. She spent her earliest years reading classic literature, and writing poetry. Its main implementation is the Glasgow Haskell Compiler.;2025-07-03 04:35:29;3;6
17;"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Make me a sandwich. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""";2025-08-11 16:41:37;2;8
18;Its main implementation is the Glasgow Haskell Compiler. Where are my pants? Its main implementation is the Glasgow Haskell Compiler. In 1989 the building was heavily damaged by fire, but it has since been restored. Atoms are used within a program to denote distinguished values.;2025-11-29 20:39:29;5;7
19;It is also a garbage-collected runtime system. I don't even care. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. It is also a garbage-collected runtime system. Its main implementation is the Glasgow Haskell Compiler.;2025-08-07 20:18:41;3;0
20;He looked inquisitively at his keyboard and wrote another sentence. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Its main implementation is the Glasgow Haskell Compiler. Erlang is a general-purpose, concurrent, functional programming language. They are written as strings of consecutive alphanumeric characters, the first character being lowercase.;2025-10-27 23:27:33;8;14
21;She spent her earliest years reading classic literature, and writing poetry. Ports are created with the built-in function open_port. Ports are used to communicate with the external world. He looked inquisitively at his keyboard and wrote another sentence. Do you have any idea why this is not working?;2025-04-11 01:09:03;7;0
